counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2292,-1033,295,-13423,-464,-11298,340,0.002525,-0.132467,-1.371408,-0.079346,-2.744385,0.077148,-3.339844,3.207031,-0.988281,5280,-67,362,72,7630,7959,8011,7986,0.000821,0.000046,-0.000732,-0.383789
2293,3257,-312,-12451,-597,-9114,340,0.002280,-0.136717,-1.371226,-0.111816,-2.211182,0.077148,-3.339844,3.207031,-0.988281,5283,-43,38,55,7674,7987,8008,7961,0.000899,0.000049,-0.000732,-0.383789
2294,1065,-409,-8526,-435,-7822,111,0.002157,-0.140353,-1.371128,-0.072266,-1.895752,0.021240,-3.339844,3.207031,-0.988281,5285,-61,-172,48,7714,7997,7998,7930,0.000982,0.000051,-0.000732,-0.383789
2295,-3173,231,-8185,-634,-9947,122,0.001912,-0.145039,-1.371187,-0.120850,-2.414551,0.023926,-3.339844,3.207031,-0.988281,5287,-28,174,40,7729,8012,7930,7925,0.001070,0.000055,-0.000977,-0.383789
2296,-147,-14,-13438,-627,-10422,296,0.001605,-0.149976,-1.370980,-0.119141,-2.530518,0.066406,-3.339844,3.207031,-0.988281,5290,-24,277,25,7747,8028,7945,7913,0.001163,0.000058,-0.000977,-0.383789
2297,3163,-563,-11294,-420,-7870,222,0.001482,-0.153804,-1.370918,-0.068604,-1.907471,0.048340,-3.339844,3.207031,-0.988281,5292,-49,-122,13,7773,8029,7925,7894,0.001262,0.000061,-0.000977,-0.383789
2298,-538,-375,-7522,-98,-7595,-76,0.001545,-0.157202,-1.370941,0.010010,-1.840332,-0.024414,-3.339844,3.207031,-0.988281,5295,-96,-178,14,7804,8031,7911,7902,0.001367,0.000064,-0.000977,-0.383789
2299,-3916,-34,-8320,-318,-10156,47,0.001423,-0.161900,-1.371024,-0.043701,-2.465576,0.005615,-3.339844,3.207031,-0.988281,5297,-68,245,12,7840,8030,7886,7916,0.001477,0.000067,-0.001221,-0.383789
2300,1121,-139,-13126,-313,-9805,285,0.001362,-0.166602,-1.370864,-0.042480,-2.379883,0.063721,-3.339844,3.207031,-0.988281,5300,-72,222,0,7843,8031,7864,7901,0.001594,0.000070,-0.001221,-0.383789
2301,4091,-214,-11497,-189,-7541,126,0.001301,-0.170131,-1.370802,-0.012207,-1.827148,0.024902,-3.339844,3.207031,-0.988281,5303,-92,-126,-5,7859,8059,7897,7867,0.001716,0.000074,-0.001221,-0.383789
